price,likes,tips,photos,ratingSignals,rating,Restaurant_Class
1,12.0,6,4,20.0,5.9,1
1,51.0,1,8,66.0,7.2,1
1,7.0,2,15,11.0,6.1,1
1,5.0,2,13,6.0,7.5,1
1,0.0,0,3,0.0,7.3,1
2,27.0,13,61,59.0,5.7,1
1,12.0,0,5,18.0,6.5,1
1,173.0,41,1756,217.0,8.5,1
1,167.0,23,1177,222.0,7.9,1
1,35.0,1,106,36.0,9.1,1
1,30.0,1,110,34.0,8.8,1
1,15.0,4,67,20.0,7.4,1
1,15.0,14,60,30.0,6.3,1
2,263.0,67,248,325.0,8.3,1
1,0.0,1,1,0.0,7.9,1
1,12.0,5,6,18.0,6.2,1
2,513.0,98,261,626.0,8.6,1
1,40.0,22,446,46.0,8.7,1
1,10.0,1,81,10.0,8.2,1
1,24.0,2,23,39.0,6.8,1
1,58.0,3,29,76.0,7.7,1
2,111.0,30,96,175.0,6.7,1
1,6.0,1,15,12.0,5.8,1
1,8.0,6,7,22.0,5.0,1
1,16.0,0,3,19.0,7.9,1
2,7.0,0,10,10.0,6.9,1
3,11.0,3,12,21.0,5.8,1
1,49.0,2,20,63.0,8.1,1
1,26.0,8,48,34.0,7.7,1
3,29.0,6,32,49.0,6.2,1
1,14.0,0,3,15.0,8.3,1
1,16.0,5,12,19.0,7.8,1
1,3.0,0,2,3.0,7.0,1
2,12.0,4,4,23.0,5.4,1
1,18.0,10,16,30.0,6.6,1
2,11.0,0,3,12.0,8.1,1
1,36.0,8,22,47.0,8.0,1
1,7.0,3,5,11.0,6.7,1
1,11.0,1,2,13.0,7.5,1
1,3.0,1,8,8.0,5.3,1
1,25.0,92,15,38.0,8.2,1
2,13.0,6,10,20.0,6.6,1
1,173.0,57,1361,195.0,9.4,1
2,146.0,21,53,181.0,8.5,1
1,12.0,2,163,16.0,7.7,1
1,7.0,1,2,10.0,6.5,1
1,12.0,1,9,19.0,6.3,1
2,15.0,1,8,19.0,7.6,1
1,16.0,7,17,20.0,7.2,1
1,9.0,0,0,11.0,7.1,1
2,57.0,33,25,90.0,6.4,1
1,12.0,2,4,21.0,6.4,1
1,10.0,0,10,10.0,8.5,1
2,17.0,2,6,28.0,6.8,1
1,6.0,1,4,13.0,5.5,1
1,126.0,36,554,162.0,8.1,1
1,12.0,3,13,15.0,7.7,1
1,7.0,0,0,10.0,7.2,1
1,2.0,0,2,2.0,7.4,1
1,170.0,11,129,197.0,9.0,1
1,16.0,3,6,23.0,7.4,1
2,8.0,3,0,9.0,7.9,1
1,1.0,1,1,1.0,7.7,1
2,52.0,11,23,70.0,7.7,1
3,38.0,14,29,60.0,6.6,1
1,27.0,7,24,49.0,6.2,1
2,8.0,0,1,11.0,7.4,1
1,37.0,7,198,43.0,8.5,1
1,11.0,0,3,19.0,5.9,1
1,11.0,0,3,13.0,7.9,1
1,8.0,12,25,9.0,8.2,1
1,30.0,9,8,41.0,7.7,1
1,4.0,0,2,5.0,7.3,1
1,16.0,7,17,22.0,7.3,1
1,16.0,0,2,20.0,7.5,1
1,32.0,5,5,42.0,7.4,1
1,15.0,5,3,16.0,8.3,1
